town,state,lga,postcode,district
Abetse-Mbateer,Benue,Takar,981111,Mbatiav 
Adoom,Benue,Takar,981111,Mbatiav 
Akawe,Benue,Takar,981111,Mbatiav 
Akpagher,Benue,Takar,981111,Mbatiav 
Anihundu,Benue,Takar,981111,Mbatiav 
Ankpenger,Benue,Takar,981111,Mbatiav 
Ayom,Benue,Takar,981111,Mbatiav 
Byer,Benue,Takar,981111,Mbatiav 
Dio,Benue,Takar,981111,Mbatiav 
Dur,Benue,Takar,981111,Mbatiav 
Eoyum,Benue,Takar,981111,Mbatiav 
Ergum,Benue,Takar,981111,Mbatiav 
Gwaza,Benue,Takar,981111,Mbatiav 
Igbabjor,Benue,Takar,981111,Mbatiav 
Igbajor,Benue,Takar,981111,Mbatiav 
Ikpenger,Benue,Takar,981111,Mbatiav 
Ikumbul,Benue,Takar,981111,Mbatiav 
Kyavel,Benue,Takar,981111,Mbatiav 
Lough,Benue,Takar,981111,Mbatiav 
Pika,Benue,Takar,981111,Mbatiav 
Tarbo,Benue,Takar,981111,Mbatiav 
Tarkoo,Benue,Takar,981111,Mbatiav 
Tiv,Benue,Takar,981111,Mbatiav 
Tze-Ademate,Benue,Takar,981111,Mbatiav 
Uga,Benue,Takar,981111,Mbatiav 
Uve,Benue,Takar,981111,Mbatiav 
Vamkyongo,Benue,Takar,981111,Mbatiav 
Abor,Benue,Takar,981110,Mbagen 
Abwa,Benue,Takar,981110,Mbagen 
Adyongo,Benue,Takar,981110,Mbagen 
Agine,Benue,Takar,981110,Mbagen 
Ajohol,Benue,Takar,981110,Mbagen 
Akume,Benue,Takar,981110,Mbagen 
Anchiha,Benue,Takar,981110,Mbagen 
Anongur,Benue,Takar,981110,Mbagen 
Ashibi,Benue,Takar,981110,Mbagen 
Ato,Benue,Takar,981110,Mbagen 
Bako,Benue,Takar,981110,Mbagen 
Garuba,Benue,Takar,981110,Mbagen 
Gbelave,Benue,Takar,981110,Mbagen 
Gbudu,Benue,Takar,981110,Mbagen 
Idyua,Benue,Takar,981110,Mbagen 
Leghem,Benue,Takar,981110,Mbagen 
Nyamatsor,Benue,Takar,981110,Mbagen 
Shie,Benue,Takar,981110,Mbagen 
Tofi,Benue,Takar,981110,Mbagen 
Upe,Benue,Takar,981110,Mbagen 
Zua,Benue,Takar,981110,Mbagen 
Akpara,Benue,Takar,981109,Shorov 
Garagboughul,Benue,Takar,981109,Shorov 
Ityowonye,Benue,Takar,981109,Shorov 
Kaimon,Benue,Takar,981109,Shorov 
Tse-Kur,Benue,Takar,981109,Shorov 
Tse-Usaka,Benue,Takar,981109,Shorov 
Abakwa,Benue,Takar,981108,Utur 
Damkor,Benue,Takar,981108,Utur 
Iorigye,Benue,Takar,981108,Utur 
Uter,Benue,Takar,981108,Utur 
Ako,Benue,Takar,981107,Kusuv
Anshav,Benue,Takar,981107,Kusuv
Awange,Benue,Takar,981107,Kusuv
M-Ulav,Benue,Takar,981107,Kusuv
Nkovul,Benue,Takar,981107,Kusuv
Orahii,Benue,Takar,981107,Kusuv
Sati,Benue,Takar,981107,Kusuv
Shipine,Benue,Takar,981107,Kusuv
Tavershima,Benue,Takar,981107,Kusuv
Tom-Ataan,Benue,Takar,981107,Kusuv
Tomanyiin,Benue,Takar,981107,Kusuv
Tse-Abagi,Benue,Takar,981107,Kusuv
Tse-Adingi,Benue,Takar,981107,Kusuv
