town,state,lga,postcode,district
Tse-Akaa,Benue,Takar,981107,Kusuv
Tse-Gbile,Benue,Takar,981107,Kusuv
Tseyuna,Benue,Takar,981107,Kusuv
Tyowanye,Benue,Takar,981107,Kusuv
Wanvambe,Benue,Takar,981107,Kusuv
Abuku,Benue,Takar,981106,Mbalagh 
Agbengi,Benue,Takar,981106,Mbalagh 
Agwabi,Benue,Takar,981106,Mbalagh 
Agyo-Ugbu,Benue,Takar,981106,Mbalagh 
Ajige,Benue,Takar,981106,Mbalagh 
Amaa Ihunda,Benue,Takar,981106,Mbalagh 
Aminde,Benue,Takar,981106,Mbalagh 
Apinega,Benue,Takar,981106,Mbalagh 
Ashinya,Benue,Takar,981106,Mbalagh 
Awusa-Pila,Benue,Takar,981106,Mbalagh 
Chijije,Benue,Takar,981106,Mbalagh 
Dogo,Benue,Takar,981106,Mbalagh 
Gbanyam,Benue,Takar,981106,Mbalagh 
Igyu,Benue,Takar,981106,Mbalagh 
Kwaghnihia,Benue,Takar,981106,Mbalagh 
Mbager,Benue,Takar,981106,Mbalagh 
Ortse,Benue,Takar,981106,Mbalagh 
Sev-Av,Benue,Takar,981106,Mbalagh 
Tabe,Benue,Takar,981106,Mbalagh 
Tsende,Benue,Takar,981106,Mbalagh 
Uga,Benue,Takar,981106,Mbalagh 
Ugangese,Benue,Takar,981106,Mbalagh 
Ayunghitse,Benue,Takar,981105,Mbatie 
Biliji,Benue,Takar,981105,Mbatie 
Bukufu,Benue,Takar,981105,Mbatie 
Buruku,Benue,Takar,981105,Mbatie 
Dzer,Benue,Takar,981105,Mbatie 
Gbaja,Benue,Takar,981105,Mbatie 
Haanya,Benue,Takar,981105,Mbatie 
Kur,Benue,Takar,981105,Mbatie 
Mbatie,Benue,Takar,981105,Mbatie 
Nyibom,Benue,Takar,981105,Mbatie 
Tomahar,Benue,Takar,981105,Mbatie 
Tomataan,Benue,Takar,981105,Mbatie 
Tsetyo,Benue,Takar,981105,Mbatie 
Tyogbenda,Benue,Takar,981105,Mbatie 
Usen,Benue,Takar,981105,Mbatie 
Abia,Benue,Takar,981104,Mbayion 
Adaa,Benue,Takar,981104,Mbayion 
Agam,Benue,Takar,981104,Mbayion 
Agbile,Benue,Takar,981104,Mbayion 
Agom,Benue,Takar,981104,Mbayion 
Akaa,Benue,Takar,981104,Mbayion 
Ande (Atondo),Benue,Takar,981104,Mbayion 
Andoor,Benue,Takar,981104,Mbayion 
Arua,Benue,Takar,981104,Mbayion 
Atuur,Benue,Takar,981104,Mbayion 
Bunde,Benue,Takar,981104,Mbayion 
Buter,Benue,Takar,981104,Mbayion 
Feda- (Atzetan),Benue,Takar,981104,Mbayion 
Gaando,Benue,Takar,981104,Mbayion 
Ihule,Benue,Takar,981104,Mbayion 
Ilungwa-Not,Benue,Takar,981104,Mbayion 
Ishar,Benue,Takar,981104,Mbayion 
Kankyer,Benue,Takar,981104,Mbayion 
Kumugh,Benue,Takar,981104,Mbayion 
Mkilim,Benue,Takar,981104,Mbayion 
Shenge,Benue,Takar,981104,Mbayion 
Songo,Benue,Takar,981104,Mbayion 
Tse-Abo,Benue,Takar,981104,Mbayion 
Tse-Ademate,Benue,Takar,981104,Mbayion 
Tse-Orya,Benue,Takar,981104,Mbayion 
Tyodugh,Benue,Takar,981104,Mbayion 
Ador,Benue,Takar,981103,Ipav 
Ahwa,Benue,Takar,981103,Ipav 
Akaajime,Benue,Takar,981103,Ipav 
Amaladu,Benue,Takar,981103,Ipav 
Anikyov,Benue,Takar,981103,Ipav 
Anyego,Benue,Takar,981103,Ipav 
Bay,Benue,Takar,981103,Ipav 
Gatie,Benue,Takar,981103,Ipav 
Ikyuen,Benue,Takar,981103,Ipav 
Itungwa,Benue,Takar,981103,Ipav 
Maseje,Benue,Takar,981103,Ipav 
Mbaamandev,Benue,Takar,981103,Ipav 
Missa,Benue,Takar,981103,Ipav 
Mkar,Benue,Takar,981103,Ipav 
Naga,Benue,Takar,981103,Ipav 
Tse-Gatie,Benue,Takar,981103,Ipav 
Tse-Kagher,Benue,Takar,981103,Ipav 
Tse-Mkovur,Benue,Takar,981103,Ipav 
Apeinumbu,Benue,Takar,981102,Yandev 
Bya Bya,Benue,Takar,981102,Yandev 
Genyi,Benue,Takar,981102,Yandev 
Gyase,Benue,Takar,981102,Yandev 
Ibyabya,Benue,Takar,981102,Yandev 
Kyado,Benue,Takar,981102,Yandev 
Mbadeda,Benue,Takar,981102,Yandev 
Mbaluka,Benue,Takar,981102,Yandev 
Mbaniongo,Benue,Takar,981102,Yandev 
Mbatie,Benue,Takar,981102,Yandev 
Orpin Village,Benue,Takar,981102,Yandev 
Tarukpe,Benue,Takar,981102,Yandev 
Tse-Akene,Benue,Takar,981102,Yandev 
Tse-Jor House,Benue,Takar,981102,Yandev 
Tyavgar House,Benue,Takar,981102,Yandev 
Tyekwu,Benue,Takar,981102,Yandev 
Yandev,Benue,Takar,981102,Yandev 
Gboko,Benue,Takar,981101,Gboko (Rural) 
Gbatse,Benue,Ushongo ,981117,Mbaikyaa 
Hegha,Benue,Ushongo ,981117,Mbaikyaa 
Igbor,Benue,Ushongo ,981117,Mbaikyaa 
Ikpakpam,Benue,Ushongo ,981117,Mbaikyaa 
Korinjo,Benue,Ushongo ,981117,Mbaikyaa 
Nor,Benue,Ushongo ,981117,Mbaikyaa 
Tarungwa,Benue,Ushongo ,981117,Mbaikyaa 
Ushongo,Benue,Ushongo ,981117,Mbaikyaa 
Ajekwue,Benue,Ushongo ,981116,Utange 
Akerior,Benue,Ushongo ,981116,Utange 
Gbinde,Benue,Ushongo ,981116,Utange 
Ikpo-Azande,Benue,Ushongo ,981116,Utange 
Abia,Benue,Ushongo ,981115,Mbagba 
Achuura,Benue,Ushongo ,981115,Mbagba 
Agbuudu,Benue,Ushongo ,981115,Mbagba 
Akile Village,Benue,Ushongo ,981115,Mbagba 
Antiev Mbele,Benue,Ushongo ,981115,Mbagba 
Atekombo,Benue,Ushongo ,981115,Mbagba 
Aunde,Benue,Ushongo ,981115,Mbagba 
Bage,Benue,Ushongo ,981115,Mbagba 
Boikyaa,Benue,Ushongo ,981115,Mbagba 
Buter,Benue,Ushongo ,981115,Mbagba 
Chubu,Benue,Ushongo ,981115,Mbagba 
Fiuji,Benue,Ushongo ,981115,Mbagba 
Goge,Benue,Ushongo ,981115,Mbagba 
Ichigh Iorliam,Benue,Ushongo ,981115,Mbagba 
Igbee,Benue,Ushongo ,981115,Mbagba 
Orihundu,Benue,Ushongo ,981115,Mbagba 
Tse-Gbande,Benue,Ushongo ,981115,Mbagba 
Tsumba,Benue,Ushongo ,981115,Mbagba 
Yese,Benue,Ushongo ,981115,Mbagba 
Abayol,Benue,Ushongo ,981114,Ushongo 
Abuul,Benue,Ushongo ,981114,Ushongo 
Adeeger,Benue,Ushongo ,981114,Ushongo 
Adiga,Benue,Ushongo ,981114,Ushongo 
Adikipo Mbaagwa,Benue,Ushongo ,981114,Ushongo 
Agoyo,Benue,Ushongo ,981114,Ushongo 
Akoko,Benue,Ushongo ,981114,Ushongo 
Alu,Benue,Ushongo ,981114,Ushongo 
Ameraga,Benue,Ushongo ,981114,Ushongo 
Antyu,Benue,Ushongo ,981114,Ushongo 
Atuuku,Benue,Ushongo ,981114,Ushongo 
Banji,Benue,Ushongo ,981114,Ushongo 
Ber-Agbum,Benue,Ushongo ,981114,Ushongo 
Boor,Benue,Ushongo ,981114,Ushongo 
Chubu,Benue,Ushongo ,981114,Ushongo 
Danji,Benue,Ushongo ,981114,Ushongo 
Ge-Mbayem,Benue,Ushongo ,981114,Ushongo 
Gege,Benue,Ushongo ,981114,Ushongo 
Ikyobo,Benue,Ushongo ,981114,Ushongo 
Kartyo,Benue,Ushongo ,981114,Ushongo 
Kwabula,Benue,Ushongo ,981114,Ushongo 
Laadi,Benue,Ushongo ,981114,Ushongo 
Lessel,Benue,Ushongo ,981114,Ushongo 
Madugwu,Benue,Ushongo ,981114,Ushongo 
Moti,Benue,Ushongo ,981114,Ushongo 
Msa,Benue,Ushongo ,981114,Ushongo 
Mtsenan,Benue,Ushongo ,981114,Ushongo 
Posu,Benue,Ushongo ,981114,Ushongo 
Tema,Benue,Ushongo ,981114,Ushongo 
Terna,Benue,Ushongo ,981114,Ushongo 
Tse-Nyagba,Benue,Ushongo ,981114,Ushongo 
Tse-Pan-Anum,Benue,Ushongo ,981114,Ushongo 
Tsedum,Benue,Ushongo ,981114,Ushongo 
Tuamade,Benue,Ushongo ,981114,Ushongo 
Tzongahar,Benue,Ushongo ,981114,Ushongo 
Uazande,Benue,Ushongo ,981114,Ushongo 
Uga,Benue,Ushongo ,981114,Ushongo 
Ugondo,Benue,Ushongo ,981114,Ushongo 
Uso,Benue,Ushongo ,981114,Ushongo 
Waapera,Benue,Ushongo ,981114,Ushongo 
Wajir,Benue,Ushongo ,981114,Ushongo 
Wuha,Benue,Ushongo ,981114,Ushongo 
Yaji,Benue,Ushongo ,981114,Ushongo 
Yam,Benue,Ushongo ,981114,Ushongo 
Abadam,Borno,Mobbar  ,602101,Mobbar  
Ajiri,Borno,Mobbar  ,602101,Mobbar  
Arege,Borno,Mobbar  ,602101,Mobbar  
Asagar,Borno,Mobbar  ,602101,Mobbar  
Asar,Borno,Mobbar  ,602101,Mobbar  
Bamuwa,Borno,Mobbar  ,602101,Mobbar  
Barmuwa,Borno,Mobbar  ,602101,Mobbar  
Bisigu,Borno,Mobbar  ,602101,Mobbar  
Bisku,Borno,Mobbar  ,602101,Mobbar  
Bisogana,Borno,Mobbar  ,602101,Mobbar  
Bisua,Borno,Mobbar  ,602101,Mobbar  
Buram,Borno,Mobbar  ,602101,Mobbar  
Camba,Borno,Mobbar  ,602101,Mobbar  
Dailo,Borno,Mobbar  ,602101,Mobbar  
Damasak,Borno,Mobbar  ,602101,Mobbar  
Dankalia,Borno,Mobbar  ,602101,Mobbar  
Dansalia,Borno,Mobbar  ,602101,Mobbar  
Daregelewa,Borno,Mobbar  ,602101,Mobbar  
Dawram,Borno,Mobbar  ,602101,Mobbar  
Derechewa,Borno,Mobbar  ,602101,Mobbar  
Duji,Borno,Mobbar  ,602101,Mobbar  
Duri,Borno,Mobbar  ,602101,Mobbar  
Faguwa,Borno,Mobbar  ,602101,Mobbar  
Galai,Borno,Mobbar  ,602101,Mobbar  
Garege,Borno,Mobbar  ,602101,Mobbar  
Garuwa,Borno,Mobbar  ,602101,Mobbar  
Gashagor,Borno,Mobbar  ,602101,Mobbar  
Gashigar,Borno,Mobbar  ,602101,Mobbar  
Gashiwar,Borno,Mobbar  ,602101,Mobbar  
Gir,Borno,Mobbar  ,602101,Mobbar  
Gonigiro,Borno,Mobbar  ,602101,Mobbar  
Goniri,Borno,Mobbar  ,602101,Mobbar  
Gugawa,Borno,Mobbar  ,602101,Mobbar  
Gumaram,Borno,Mobbar  ,602101,Mobbar  
Jabulam,Borno,Mobbar  ,602101,Mobbar  
Kabela,Borno,Mobbar  ,602101,Mobbar  
Kabewa,Borno,Mobbar  ,602101,Mobbar  
Kaleri,Borno,Mobbar  ,602101,Mobbar  
Kalinowa,Borno,Mobbar  ,602101,Mobbar  
Kareto,Borno,Mobbar  ,602101,Mobbar  
Karibia,Borno,Mobbar  ,602101,Mobbar  
Karimbori,Borno,Mobbar  ,602101,Mobbar  
Karinboa,Borno,Mobbar  ,602101,Mobbar  
Karinbowa,Borno,Mobbar  ,602101,Mobbar  
Kaririwa,Borno,Mobbar  ,602101,Mobbar  
Kashiniguri,Borno,Mobbar  ,602101,Mobbar  
Kauwa,Borno,Mobbar  ,602101,Mobbar  
Kaya,Borno,Mobbar  ,602101,Mobbar  
Korikutila,Borno,Mobbar  ,602101,Mobbar  
Kwari-Nonori,Borno,Mobbar  ,602101,Mobbar  
Ladari,Borno,Mobbar  ,602101,Mobbar  
Lamlam,Borno,Mobbar  ,602101,Mobbar  
Lariski,Borno,Mobbar  ,602101,Mobbar  
Lavaski,Borno,Mobbar  ,602101,Mobbar  
Layi,Borno,Mobbar  ,602101,Mobbar  
Limbur,Borno,Mobbar  ,602101,Mobbar  
Maiduri,Borno,Mobbar  ,602101,Mobbar  
Malam Fatori,Borno,Mobbar  ,602101,Mobbar  
Malamsuri,Borno,Mobbar  ,602101,Mobbar  
Mallam Kwanori,Borno,Mobbar  ,602101,Mobbar  
Mamti,Borno,Mobbar  ,602101,Mobbar  
Masakai,Borno,Mobbar  ,602101,Mobbar  
Masaki,Borno,Mobbar  ,602101,Mobbar  
Meleri,Borno,Mobbar  ,602101,Mobbar  
Metele,Borno,Mobbar  ,602101,Mobbar  
Mobbar,Borno,Mobbar  ,602101,Mobbar  
Monor,Borno,Mobbar  ,602101,Mobbar  
Nagajia,Borno,Mobbar  ,602101,Mobbar  
Ngaji,Borno,Mobbar  ,602101,Mobbar  
Ngam,Borno,Mobbar  ,602101,Mobbar  
Ngamakayale,Borno,Mobbar  ,602101,Mobbar  
Nwainowa,Borno,Mobbar  ,602101,Mobbar  
Tingiri,Borno,Mobbar  ,602101,Mobbar  
Tororam,Borno,Mobbar  ,602101,Mobbar  
Uran,Borno,Mobbar  ,602101,Mobbar  
Yarumiri,Borno,Mobbar  ,602101,Mobbar  
Yau,Borno,Mobbar  ,602101,Mobbar  
Yauma Wango,Borno,Mobbar  ,602101,Mobbar  
Zari,Borno,Mobbar  ,602101,Mobbar  
Ajiri,Borno,Marte  ,611105,Marte  
Ala,Borno,Marte  ,611105,Marte  
Alla,Borno,Marte  ,611105,Marte  
Bodairi,Borno,Marte  ,611105,Marte  
Burahutube,Borno,Marte  ,611105,Marte  
Fage,Borno,Marte  ,611105,Marte  
Garadia,Borno,Marte  ,611105,Marte  
Gumma,Borno,Marte  ,611105,Marte  
Kabula,Borno,Marte  ,611105,Marte  
Kaje,Borno,Marte  ,611105,Marte  
Kajekura,Borno,Marte  ,611105,Marte  
Kirenowa,Borno,Marte  ,611105,Marte  
Kulli,Borno,Marte  ,611105,Marte  
Majadukuri,Borno,Marte  ,611105,Marte  
Marte,Borno,Marte  ,611105,Marte  
Masaba,Borno,Marte  ,611105,Marte  
Mawulli,Borno,Marte  ,611105,Marte  
Mugum,Borno,Marte  ,611105,Marte  
Musune,Borno,Marte  ,611105,Marte  
Ngalori,Borno,Marte  ,611105,Marte  
Njine,Borno,Marte  ,611105,Marte  
Saba,Borno,Marte  ,611105,Marte  
Saula,Borno,Marte  ,611105,Marte  
Wubsa,Borno,Marte  ,611105,Marte  
Yedi,Borno,Marte  ,611105,Marte  
Zaga,Borno,Marte  ,611105,Marte  
Abagoderi,Borno,Magumeri  ,602104,Magumeri  
Ambolu,Borno,Magumeri  ,602104,Magumeri  
Ardoram,Borno,Magumeri  ,602104,Magumeri  
Borno Yesu,Borno,Magumeri  ,602104,Magumeri  
Dandalmai,Borno,Magumeri  ,602104,Magumeri  
Dusugua,Borno,Magumeri  ,602104,Magumeri  
Furram,Borno,Magumeri  ,602104,Magumeri  
Gabchari,Borno,Magumeri  ,602104,Magumeri  
Gabtaru,Borno,Magumeri  ,602104,Magumeri  
Gajiganna,Borno,Magumeri  ,602104,Magumeri  
Ganan,Borno,Magumeri  ,602104,Magumeri  
Ganijia,Borno,Magumeri  ,602104,Magumeri  
Garmiri,Borno,Magumeri  ,602104,Magumeri  
Geske,Borno,Magumeri  ,602104,Magumeri  
Gultaru,Borno,Magumeri  ,602104,Magumeri  
Jakkana,Borno,Magumeri  ,602104,Magumeri  
Ka'ajia,Borno,Magumeri  ,602104,Magumeri  
Kalizoram,Borno,Magumeri  ,602104,Magumeri  
Kupti,Borno,Magumeri  ,602104,Magumeri  
Layratti,Borno,Magumeri  ,602104,Magumeri  
Magumeri,Borno,Magumeri  ,602104,Magumeri  
Magumeri A.,Borno,Magumeri  ,602104,Magumeri  
Magumeri B.,Borno,Magumeri  ,602104,Magumeri  
Mallum-Busariri,Borno,Magumeri  ,602104,Magumeri  
Malum Mustari,Borno,Magumeri  ,602104,Magumeri  
Monoram-Gonimiri,Borno,Magumeri  ,602104,Magumeri  
Ngamma,Borno,Magumeri  ,602104,Magumeri  
Ngubola,Borno,Magumeri  ,602104,Magumeri  
Ngura's,Borno,Magumeri  ,602104,Magumeri  
Risugua,Borno,Magumeri  ,602104,Magumeri  
Umarari,Borno,Magumeri  ,602104,Magumeri  
Yasku,Borno,Magumeri  ,602104,Magumeri  
Zumtur,Borno,Magumeri  ,602104,Magumeri  
Anadua,Borno,Mafa  ,611104,Mafa 
Gawa,Borno,Mafa  ,611104,Mafa 
Kajari,Borno,Mafa  ,611104,Mafa 
Koshebe,Borno,Mafa  ,611104,Mafa 
Limanti,Borno,Mafa  ,611104,Mafa 
Loslari,Borno,Mafa  ,611104,Mafa 
Ma' afa,Borno,Mafa  ,611104,Mafa 
Mafa - Nguranna,Borno,Mafa  ,611104,Mafa 
Mafa Abbari,Borno,Mafa  ,611104,Mafa 
Masa,Borno,Mafa  ,611104,Mafa 
Mbuta,Borno,Mafa  ,611104,Mafa 
Mijigine,Borno,Mafa  ,611104,Mafa 
Siguabuya,Borno,Mafa  ,611104,Mafa 
Tamsugu Ngandua,Borno,Mafa  ,611104,Mafa 
Umarari,Borno,Mafa  ,611104,Mafa 
Zannari,Borno,Mafa  ,611104,Mafa 
Algarno,Borno,Kwaya Kusar,603103,Kwaya Kusar
Balba,Borno,Kwaya Kusar,603103,Kwaya Kusar
Bargu,Borno,Kwaya Kusar,603103,Kwaya Kusar
Bila,Borno,Kwaya Kusar,603103,Kwaya Kusar
Bilazi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Bima,Borno,Kwaya Kusar,603103,Kwaya Kusar
Charangi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Chikwi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Dayar,Borno,Kwaya Kusar,603103,Kwaya Kusar
Dema,Borno,Kwaya Kusar,603103,Kwaya Kusar
Dlashu,Borno,Kwaya Kusar,603103,Kwaya Kusar
Duchi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Dunkur,Borno,Kwaya Kusar,603103,Kwaya Kusar
Durum,Borno,Kwaya Kusar,603103,Kwaya Kusar
Fesingo,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gadam,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gaidam,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gamsama,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gashina,Borno,Kwaya Kusar,603103,Kwaya Kusar
Giba,Borno,Kwaya Kusar,603103,Kwaya Kusar
Guba,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gubai,Borno,Kwaya Kusar,603103,Kwaya Kusar
Guburde,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gudula,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gujba,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gusi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Guwal,Borno,Kwaya Kusar,603103,Kwaya Kusar
Gwandi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Hema,Borno,Kwaya Kusar,603103,Kwaya Kusar
Hutayankwar,Borno,Kwaya Kusar,603103,Kwaya Kusar
Jagali,Borno,Kwaya Kusar,603103,Kwaya Kusar
Jaki,Borno,Kwaya Kusar,603103,Kwaya Kusar
Jalingo,Borno,Kwaya Kusar,603103,Kwaya Kusar
Juga,Borno,Kwaya Kusar,603103,Kwaya Kusar
Jugual,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kenzuwa,Borno,Kwaya Kusar,603103,Kwaya Kusar
Keri,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kopala,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kuam Sheng,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kubuku,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kullankasan,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kurba Gayi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kuthi Dika,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kwagu,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kwardun,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kwathaung,Borno,Kwaya Kusar,603103,Kwaya Kusar
Kwaya Kusar,Borno,Kwaya Kusar,603103,Kwaya Kusar
Lafiya,Borno,Kwaya Kusar,603103,Kwaya Kusar
Lesga,Borno,Kwaya Kusar,603103,Kwaya Kusar
Magaba,Borno,Kwaya Kusar,603103,Kwaya Kusar
Maiba,Borno,Kwaya Kusar,603103,Kwaya Kusar
Mbula,Borno,Kwaya Kusar,603103,Kwaya Kusar
Midla,Borno,Kwaya Kusar,603103,Kwaya Kusar
Minta,Borno,Kwaya Kusar,603103,Kwaya Kusar
Moku,Borno,Kwaya Kusar,603103,Kwaya Kusar
Paka,Borno,Kwaya Kusar,603103,Kwaya Kusar
Pankilang,Borno,Kwaya Kusar,603103,Kwaya Kusar
Pela Tsuigi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Peta,Borno,Kwaya Kusar,603103,Kwaya Kusar
Pika,Borno,Kwaya Kusar,603103,Kwaya Kusar
Pukuma Miyim,Borno,Kwaya Kusar,603103,Kwaya Kusar
Salahu,Borno,Kwaya Kusar,603103,Kwaya Kusar
Saura,Borno,Kwaya Kusar,603103,Kwaya Kusar
Tawasu,Borno,Kwaya Kusar,603103,Kwaya Kusar
Wada,Borno,Kwaya Kusar,603103,Kwaya Kusar
Wandali,Borno,Kwaya Kusar,603103,Kwaya Kusar
Wara,Borno,Kwaya Kusar,603103,Kwaya Kusar
Wawa,Borno,Kwaya Kusar,603103,Kwaya Kusar
Yangwam,Borno,Kwaya Kusar,603103,Kwaya Kusar
Yimbu,Borno,Kwaya Kusar,603103,Kwaya Kusar
Yimirdlalang,Borno,Kwaya Kusar,603103,Kwaya Kusar
Zobi,Borno,Kwaya Kusar,603103,Kwaya Kusar
Adua,Borno,Kukawa  ,612102,Kanembu 
Ajiri,Borno,Kukawa  ,612102,Kanembu 
Alagama,Borno,Kukawa  ,612102,Kanembu 
Barwati,Borno,Kukawa  ,612102,Kanembu 
Bongoa,Borno,Kukawa  ,612102,Kanembu 
Borgoa,Borno,Kukawa  ,612102,Kanembu 
Bundur,Borno,Kukawa  ,612102,Kanembu 
Da'awao,Borno,Kukawa  ,612102,Kanembu 
Dabu,Borno,Kukawa  ,612102,Kanembu 
Degagu,Borno,Kukawa  ,612102,Kanembu 
Dogoshi,Borno,Kukawa  ,612102,Kanembu 
Garanda,Borno,Kukawa  ,612102,Kanembu 
Gudunbali,Borno,Kukawa  ,612102,Kanembu 
Kangarwa,Borno,Kukawa  ,612102,Kanembu 
Kauwa,Borno,Kukawa  ,612102,Kanembu 
Kekeho,Borno,Kukawa  ,612102,Kanembu 
Kukawa,Borno,Kukawa  ,612102,Kanembu 
Moduwari,Borno,Kukawa  ,612102,Kanembu 
Ngurtuwa,Borno,Kukawa  ,612102,Kanembu 
Toyo,Borno,Kukawa  ,612102,Kanembu 
Yoyo,Borno,Kukawa  ,612102,Kanembu 
Ajiri,Borno,Konduga  ,610111,Auno 
Bulabulin Ngaburawa,Borno,Konduga  ,610111,Auno 
Dalwa West,Borno,Konduga  ,610111,Auno 
Ghabbol,Borno,Konduga  ,610111,Auno 
Jajel Auno,Borno,Konduga  ,610111,Auno 
Jakana,Borno,Konduga  ,610111,Auno 
Jweu,Borno,Konduga  ,610111,Auno 
Lambia,Borno,Konduga  ,610111,Auno 
Masba Abbari,Borno,Konduga  ,610111,Auno 
Nguro Nguro,Borno,Konduga  ,610111,Auno 
Njimtilo,Borno,Konduga  ,610111,Auno 
Nyaleri,Borno,Konduga  ,610111,Auno 
Sandia,Borno,Konduga  ,610111,Auno 
Sojbri,Borno,Konduga  ,610111,Auno 
Yajiwa,Borno,Konduga  ,610111,Auno 
Addamari,Borno,Jere  ,600104,Jere 
Alau,Borno,Jere  ,600104,Jere 
Bale-Galtimari,Borno,Jere  ,600104,Jere 
Dala-Lawanti,Borno,Jere  ,600104,Jere 
Dusuman,Borno,Jere  ,600104,Jere 
Gamboru,Borno,Jere  ,600104,Jere 
Gongulong,Borno,Jere  ,600104,Jere 
Jere,Borno,Jere  ,600104,Jere 
Koshebe,Borno,Jere  ,600104,Jere 
Lawanti,Borno,Jere  ,600104,Jere 
Maimusari,Borno,Jere  ,600104,Jere 
