state,lga,postcode,facility
Ondo,Ose,341005,Imeri
Ondo,Ose,341002,Ifon
Ondo,Ose,341004,Idoani
Ondo,Owo,341001,"Ijebu Owo"
Osun,Aiyedade,221005,"Orile   Owu"
Osun,Aiyedade,221002,"Ode  Omu"
Osun,Aiyedade,221001,Gbongan
Osun,Aiyedire,232104,Kuta
Osun,Aiyedire,232002,"Ile   Ogbo"
Osun,"Atakunmosa West",233002,Osu
Osun,Boluwaduro,233002,"Otan   Ayegbaju"
Osun,Boluwaduro,231010,Iresi
Osun,Boluwaduro,231009,Igbajo
Osun,Boripe,231008,Iree
Osun,Boripe,231007,Irabliji
Osun,Boripe,231007,Ada
Osun,"Ede North",232001,Ede
Osun,Ejigbo,232004,Olla
Osun,Ejigbo,232003,Ejigbo
Osun,"Ife Central",220007,"Ile   Ife"
Osun,"Ife Central",220005,OAU
Osun,"Ife East",220003,Modakake
Osun,"Ife East",220001,"Ile   Ife"
Osun,"Ife North",220006,Moro
Osun,"Ife South",220004,Olode
Osun,"Ife South",222007,"Ife   tedo"
Osun,Ifedayo,234004,"Ora  Igbomina"
Osun,Ifedayo,234003,"Oke   Ila"
Osun,Ila,234001,"Ila   Orangun"
Osun,"Ilesa West",233009,"Temidire Imadin"
Osun,"Ilesa West",233001,Ilesa
Osun,Irewole,221003,Ikire
Osun,Isokan,221004,Apomu
Osun,Iwo,232005,Iwo
Osun,Obokun,233010,"Esa   Oke"
Osun,Obokun,233007,"Imest   Ile"
Osun,Obokun,233006,Ibokun
Osun,Odo-Otin,231002,Oyan
Osun,Odo-Otin,231001,Okuku
Osun,Odo-Otin,231003,Inisa
Osun,Odo-Otin,231004,Igbaye
Osun,Odo-Otin,231011,Ekosin
Osun,Oriade,233012,Iloko
Osun,Oriade,233011,"Ikeji   Iie"
Osun,Oriade,233004,"Ijebu   Jesa"
Osun,Oriade,233008,Erinmo
Osun,Oriade,233003,Ifewara
Osun,Oriade,231005,"Ipetu   Jesa"
Osun,Orolu,233003,"Ifon   Osun"
Osun,Osogbo,230001,Osogbo
Oyo,Afijio,211002,Awe
Oyo,Atisbo,203002,Tede
Oyo,Atisbo,203003,"Ago   Aare"
Oyo,"Ibadan North",200005,"University of Ibadan"
Oyo,"Ibadan North",200009,Tapa
Oyo,"Ibadan South East",200002,Mapo
Oyo,"Ibadan South West",200001,GPO
Oyo,"Ibarapa central",201003,"Igbo Ora"
Oyo,Ido,200006,Eleyele
Oyo,Irepo,212001,Kishi
Oyo,Iseyin,202001,Isyin
Oyo,Itesiwaju,202003,Igbojaye
Oyo,Kajola,202002,Okeho
Oyo,"Ogbomoso North",210001,Ogbomoso
Oyo,"Ogbomoso South",210002,Ijeru
Oyo,"Ogo Oluwa",210003,Ajaawa
Oyo,Olorunsogo,212002,Igbeti
Oyo,Orelope,212003,Igboho
Oyo,"Ori Ire",210005,Ikoyi
Oyo,"Oyo West",211001,Oyo
Oyo,"Oyo West",211003,Bacotho
Oyo,"Saki East",203005,Agoamodu
Oyo,"Saki East",203004,Sepeteri
Oyo,"Saki West",203001,Saki
Oyo,Surulere,101014,Surulere
Plateau,"Barkin Ladi",931002,"Kurra Falls"
Plateau,"Barkin Ladi",931001,"Barkin Ladi"
Plateau,Bokkos,932004,Daffo
Plateau,"Jos North",940006,"Zaria Rd."
Plateau,"Jos North",930003,"University of Jos"
Plateau,"Jos North",930002,"Jos Town"
Plateau,"Jos North",930004,"Jos North"
Plateau,"Jos North",900001,GPO
Plateau,"Jos South",930010,Vom
Plateau,"Jos South",933009,NIPSS
Plateau,"Jos South",930011,"Federal Secretariat"
Plateau,"Jos South",930008,Bukuru
Plateau,"Jos South",930007,"Anglo Jos"
Plateau,Kanam,942003,Dengi
Plateau,Kanke,933002,Kabwir
Plateau,Kanke,933003,Amper
Plateau,"Langtang North",941001,Langtang
Plateau,"Langtang South",941002,Mabudi
Plateau,Mangu,932001,Mangu
Plateau,Mangu,933001,Gindiri
Plateau,Mikang,942002,Garkawa
Plateau,Pankshin,933001,Pankshin
Plateau,"Qua'an Pan",940003,Ba'ap
Plateau,Shendam,940004,Demshin
Plateau,Shendam,942002,"Yelwa Ishar"
Plateau,Shendam,940001,Shendam
Plateau,Wase,942001,Wase
Rivers,Abua/Odual,510003,Abua
Rivers,"Ahoada East",510001,Ahoada
Rivers,"Akuku Toru",504004,Abonnema
Rivers,"Asari Toru",504003,Buguma
Rivers,Degema,504002,Bokana
Rivers,Eleme,501001,Eleme
Rivers,Emohua,511001,Elele
Rivers,Etche,512001,Okehi
Rivers,Gokana,501002,Bodo
Rivers,Ikwerre,511002,Airport
Rivers,Khana,520001,"Bori Ogoni"
Rivers,Obio/Akpor,500007,Woji
Rivers,Obio/Akpor,500004,Uniport
Rivers,Obio/Akpor,500006,"Federal Secretariat"
Rivers,Obio/Akpor,500011,"College Of Arts & Science"
Rivers,Obio/Akpor,500010,COE
Rivers,Ogba/Egbema/Ndoni,510002,Omoku
Rivers,Ogba/Egbema/Ndoni,511001,Ndoni
Rivers,Okrika,500009,Okirika
Rivers,Opobo/Nkoro,503002,Opobo
Rivers,Port-Harcourt,500008,Unitech
Rivers,Port-Harcourt,500003,"Trans Amadi"
Rivers,Port-Harcourt,500001,GPO
Rivers,Port-Harcourt,500002,Diobu
Rivers,Port-Harcourt,500005,"Aggrey Roa"
Sokoto,Bodinga,852001,Bodinga
Sokoto,Gwadabawa,843001,Gwadabawa
Sokoto,Illela,843002,Illela
Sokoto,Isa,883001,Isa
Sokoto,Shagari,851001,Shagari
Sokoto,"Sokoto South",840002,Marina
Sokoto,"Sokoto South",840001,GPO
Sokoto,"Sokoto South",840003,"Federal Secretariat"
Sokoto,Tambuwal,850001,Tambawal
Sokoto,Tangaza,841001,"Gidan Madi    ."
Sokoto,Wamako,840004,Udus
Sokoto,Wurno,842001,Wurno
Sokoto,Yabo,851001,Yabo
Taraba,Bali,672001,Bali
Taraba,Donga,671001,Donga
Taraba,Gashaka,663001,Serti
Taraba,Gassol,672002,"Mutum Biyu"
Taraba,Ibi,670002,Ibi
Taraba,Jalingo,660001,Jalingo
Taraba,Karim-Lamido,662002,"Karim Lamido"
Taraba,Kurmi,671004,Baissa
Taraba,Lau,662001,Lau
Taraba,Sardauna,663002,Gembu
Taraba,Takum,671002,Takum
Taraba,Wukari,670001,Wukari
Taraba,Yorro,661002,Pantisawa
Taraba,Zing,661003,Zing
Yobe,Bade,631001,Gashua
Yobe,Damaturu,620001,GPO
Yobe,Fune,622003,Damagum
Yobe,Geidam,632001,Geidam
Yobe,Gujba,621002,"Buni Yadi"
Yobe,Nguru,630001,Nguru
Yobe,Potiskum,622002,Potiskum
Zamfara,Anka,890001,Anka
Zamfara,Bungudu,881001,Bungudu
Zamfara,Chafe,880003,Kucheri
Zamfara,Chafe,880002,Chafe
Zamfara,Gummi,891001,Gummi
Zamfara,Gusau,880001,Gusau
Zamfara,"Kaura Namoda",882001,"Kauran Namoda"
Zamfara,Maru,890002,Maru
Zamfara,Shinkafi,883002,Shinkafi
Zamfara,"Talata Mafara",892001,"Talatan Mafara"
